question,ground_truth,category,difficulty,source_page,source_doc,evidence_span
"프로젝트의 주요 일정 단계(예: 분석·설계, 개발·테스트, 인수, 시범운영 등)는 어떤 순서로 계획되어 있는가?","프로젝트 관리 → 분석 및 설계 → 개발 및 테스트(단위/통합) → 인수(성능/인수테스트) → 시범운영(시범운영, 오픈) 및 착수·중간·최종보고",schedule,medium,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
포털과 연계된 인증·보안 요구사항으로 명시된 인증 방식들은 무엇인가?,"SSO, 간편인증, 2차인증(추가 인증방식으로 모바일, OTP 방식 등을 병행할 수 있도록 구축)",security,medium,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
데이터 설계 및 표준화를 위해 제안사가 적용해야 할 도구/방법은 무엇인가?,데이터 아키텍처시스템의 모델링툴 등을 시스템 개발에 필히 적용하여 최적화·표준화 설계 및 개발,data,hard,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
도입되는 모든 소프트웨어의 라이선스 제공 방식에 관한 요구사항은 무엇인가?,도입되는 모든 S/W의 라이선스는 원본으로 제공하여야 한다.,procurement,easy,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
제안사에게 요구되는 매뉴얼 제공 및 관리 방식은 무엇인가?,"모든 프로그램은 온·오프라인 매뉴얼을 제공하여야 하며, 매뉴얼은 형상관리툴로 변동내역을 관리하고 최종 변경된 매뉴얼은 시스템에 반영되어 사용자에게 제공",technical,medium,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
시스템 구축 완료 후 보안 취약점 관련 요구되는 절차는 무엇인가?,시스템 구축 후 시스템 취약점 점검을 실시하여 시스템의 안정성에 대한 결과서를 제출하고 미비사항에 대하여 조치를 완료하여야 함,security,medium,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
통합아이디 체계 구축 시 개인정보 관련 요구사항은 무엇인가?,개인이 가지는 여러 신분을 하나로 묶는 통합아이디 체계를 개인정보보호법에 위배되지 않도록 운영할 수 있는 방안을 반영하여 구축해야 함,compliance,hard,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
제안 제출 방식과 관련해 주사업자에게 요구되는 조건은 무엇인가?,"모든 제안 내용은 우리대학이 제시한 조건에 충족하여야 하며, 주사업자가 일괄 제안하여야 함",procurement,easy,,고려대학교_차세대 포털·학사 정보시스템 구축사업.pdf,
본 사업의 사업명은 무엇인가?,수협중앙회 수산물 사이버직매장 재구축 ISMP수립 용역,general,easy,,수협중앙회_수협중앙회 수산물사이버직매장 시스템 재구축 ISMP 수립 입.hwp,사 업 명 : 수협중앙회 수산물 사이버직매장 재구축 ISMP수립 용역
사업기간은 어떻게 되는가?,계약일로부터 4월(120일),schedule,easy,,수협중앙회_수협중앙회 수산물사이버직매장 시스템 재구축 ISMP 수립 입.hwp,사업기간 : 계약일로부터 4월(120일)
사업예산은 얼마인가?,300백만원(V.A.T. 포함),budget,easy,,수협중앙회_수협중앙회 수산물사이버직매장 시스템 재구축 ISMP 수립 입.hwp,사업예산 : 300백만원(V.A.T. 포함)
입찰방식 및 계약방법은 무엇인가?,제한경쟁입찰(협상에 의한 계약),procurement,easy,,수협중앙회_수협중앙회 수산물사이버직매장 시스템 재구축 ISMP 수립 입.hwp,계약방법 : 제한경쟁입찰(협상에 의한 계약)
現 수산물 사이버직매장 시스템의 주요 문제점은 무엇인가?,"시스템 노후화(2015년 구축)로 인한 장애위험 증가 및 유지관리 한계, 보안정책 과다 적용 및 스위치 대역폭 부족, SSF(회계) 및 수협은행 등 내부 시스템 간 미연동에 따른 불필요한 행정업무 과다 발생",technical,medium,,수협중앙회_수협중앙회 수산물사이버직매장 시스템 재구축 ISMP 수립 입.hwp,"現 시스템 노후화(2015년 구축)로 인한 장애위험 증가 및 유지관리 한계, 신용사업 네트워크 환경을 공유함으로써 발생하는 보안정책 과다 적용 및 스위치 대역폭 부족, SSF(회계) 및 수협은행 등 내부 시스템 간 미연동"
기존 수산물 사이버직매장 총 사업비와 추진 단계는 어떻게 되었는가?,"총 사업비 2,996백만원(자담 50%, 국고보조 50%), 1단계('14.6월~'15.5월)와 2단계('15.6월~'15.12월)로 추진",budget,medium,,수협중앙회_수협중앙회 수산물사이버직매장 시스템 재구축 ISMP 수립 입.hwp,"총 사업비 : 2,996백만원(자담 50%, 국고보조 50%), 1단계('14. 6월 ~ '15. 5월), 2단계('15. 6월 ~ '15. 12월)"
국가교육과정정보센터(NCIC) 시스템 운영 및 개선 사업의 사업기간은?,계약체결일 ~ 2024.11.15.(금),schedule,easy,,한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선.hwp,사업기간 : 계약체결일 ~ 2024.11.15.(금)
NCIC 사업의 사업금액은 얼마인가?,"50,000,000원 (VAT 포함)",budget,easy,,한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선.hwp,"사업금액 : 50,000,000원 (VAT 포함)"
NCIC 사업에서 고도화 내용으로 요구하는 항목들은 무엇인가?,"국가교육과정 관련 정보의 표준화 및 체계화, 사용자 편의성(UI/UX)를 고려한 웹사이트 전면 개편, 설문조사 시스템의 장기적 활용을 위한 데이터 누적관리 체계 구축, 사용자 로그인 및 관리 기능 신규 개발, 접속자 통계 기록 및 데이터 추출 기능 신규 개발",technical,medium,,한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선.hwp,① 현재 탑재되어 있는 국가교육과정 관련 정보의 표준화 및 체계화 ② 사용자 편의성(UI/UX)를 고려한 웹사이트 전면 개편 ③ 현행 설문조사 시스템의 장기적 활용을 위한 데이터 누적관리 체계 구축 ④ 사용자 로그인 및 관리 기능 신규 개발 ⑤ 국가교육과정정보센터 접속자 통계 기록 및 데이터 추출 기능 신규 개발
NCIC 사업의 유지보수 내용은 무엇인가?,"웹사이트 운영 상 장애가 발생하지 않도록 점검 및 유지보수(WEB, WAS, DB 등), 사용자 요청에 따라 웹페이지 수정(게시판 추가, 배너 수정 등)",technical,medium,,한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선.hwp,"① 웹사이트 운영 상 장애가 발생하지 않도록 점검 및 유지보수(WEB, WAS, DB 등) ② 사용자 요청에 따라 웹페이지 수정(게시판 추가, 배너 수정 등)"
NCIC 사업의 추진 목표는 무엇인가?,국가교육과정 환경에 적합한 최신 기술을 도입하여 데이터를 체계적으로 관리하고 시스템의 안정적 확산을 위한 기반 마련,general,easy,,한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선.hwp,추진 목표: 국가교육과정 환경에 적합한 최신 기술을 도입하여 데이터를 체계적으로 관리하고 시스템의 안정적 확산을 위한 기반 마련
NCIC 사업의 관련 법규는 무엇인가?,국가를 당사자로 하는 계약에 관한 법률 시행령 제43조 및 제43조의 2,compliance,hard,,한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선.hwp,관련법규 : 국가를 당사자로 하는 계약에 관한 법률 시행령 제43조 및 제43조의 2
차세대 응급의료 상황관리시스템 구축 사업의 사업예산은 얼마인가?,"금일십사억원정(￦1,400,000,000원, VAT 포함)",budget,easy,,국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축.hwp,"사업예산 : 금일십사억원정 (￦1,400,000,000원, VAT 포함)"
차세대 응급의료 상황관리시스템의 사업기간은?,계약일로부터 2024년 12월 31일까지,schedule,easy,,국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축.hwp,사업기간 : 계약일로부터 2024년 12월 31일까지
응급의료 상황관리시스템 구축의 추진배경에서 전원(병원간 이송) 관련 문제점은?,"중증응급환자의 전원 수용병원 결정을 위해 수차례의 수용 요청이 필요하며 평균 9.3개의 의료기관에 전원의뢰, 지역응급의료기관 등 당직의사 1명인 곳에서는 전원 섭외 중 환자 진료가 불가능하고 섭외 시간만큼 환자 치료가 지연",technical,medium,,국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축.hwp,"중증응급환자의 전원 수용병원 결정을 위해 수차례의 수용 요청이 필요('22년 중앙응급의료상황실 자료에 따르면 평균 9.3개의 의료기관에 전원의뢰), 당직의사가 1명에 불과한 곳에서는 전원 섭외 중 환자 진료가 불가능"
응급의료 상황관리시스템의 예산코드는 무엇인가?,29. 중앙응급의료센터 운영지원-관리운영비-외주용역비-광역상황실,budget,hard,,국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축.hwp,예산코드 : 29. 중앙응급의료센터 운영지원-관리운영비-외주용역비-광역상황실
기존 응급의료 상황관리시스템은 언제 최초 구축되었는가?,'18년에 재난응급의료상황 접수시스템으로 최초 구축,schedule,medium,,국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축.hwp,'18년 재난응급의료상황 접수시스템 최초 구축
응급의료 시스템 구축에서 광역상황실 설치 결정의 근거는?,제4차 응급의료기본계획('23.3)과 응급의료긴급대책 당정협의('23.5),compliance,hard,,국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축.hwp,제4차 응급의료기본계획('23.3)과 응급의료긴급대책 당정협의('23.5)에 따라 광역응급의료상황실 설치 결정
예약발매시스템 개량 ISMP 용역의 사업비는 얼마인가?,470백만원 (VAT 포함),budget,easy,,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,사 업 비 : 470백만원 (VAT 포함)
예약발매시스템 ISMP 사업기간은?,체결일로부터 5개월 이내,schedule,easy,,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,사업기간 : 체결일로부터 5개월 이내
예약발매시스템 개량의 추진배경은?,"'15년 시스템 개선 후 '17년과 '20년에 하드웨어만 개량하여 노후화와 운용 효율 저하, IT운영센터 신축 및 SR 시스템 분리, MaaS·AI·빅데이터 등 산업 동향 대응 예약발매 플랫폼 전략 부재",technical,medium,,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,"'15년 시스템 개선 후 '17년, '20년에 하드웨어만 개량하여 노후화와 운용 효율 저하, IT운영센터 신축 SR 시스템 분리, MaaS·AI·빅데이터 등 산업 동향 대응 예약발매 플랫폼 전략 부재"
예약발매시스템 ISMP의 제안서 평가방법은 어떤 장에서 다루고 있는가?,7장 제안안내사항의 나. 제안서 평가 방법(48페이지)과 다. 제안서 평가 기준(50페이지),evaluation,medium,,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,"나. 제안서 평가 방법 48, 다. 제안서 평가 기준 50"
예약발매시스템 ISMP에서 하자담보 책임기간은 어디에 규정되어 있는가?,9장 기타 사항의 가. 하자담보 책임기간(72페이지),maintenance,hard,,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,가. 하자담보 책임기간 72
예약발매시스템의 보안 준수사항에서 다루는 세부 항목은?,"공통사항, 용역사업 참여인원에 대한 보안관리, 자료에 대한 보안관리, 용역수행 관련 장비에 대한 보안관리, 내·외부망 접근에 대한 보안관리, 보안특약 조항",security,hard,,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,"가. 공통사항, 나. 용역사업 참여인원에 대한 보안관리, 다. 자료에 대한 보안관리, 라. 용역수행 관련 장비에 대한 보안관리, 마. 내·외부망 접근에 대한 보안관리, 바. 보안특약 조항"
스포츠윤리센터 LMS 기능개선 사업의 소요예산은?,"금 46,445,000원(부가가치세 포함)",budget,easy,,재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선.hwp,"소요예산 : 금 46,445,000원(부가가치세 포함)"
스포츠윤리센터 LMS 사업기간은?,계약 후 150일,schedule,easy,,재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선.hwp,사업기간 : 계약 후 150일
스포츠윤리센터 LMS 기능개선의 추진배경 및 필요성은?,"학습자의 흥미도를 고려한 상호작용 형태의 교육콘텐츠 구현 필요, 현장교육 확대에 따라 자동화 강사파견 시스템 개발, 교육등록 체계·통계 등 현행 기능의 고도화 필요, 학습자 편의성·접근성 향상을 위한 LMS 기능개선",technical,medium,,재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선.hwp,"학습자의 흥미도를 고려한 상호작용 형태의 교육콘텐츠 구현 필요, 현장교육 확대에 따라 자동화 강사파견 시스템 개발, 교육등록 체계·통계 등 현행 기능의 고도화 필요, 학습자 편의성·접근성 향상을 위한 LMS 기능개선"
스포츠윤리센터 LMS 사업의 수요기관과 담당부서는?,수요기관은 스포츠윤리센터이며 담당부서는 정책실 교육정책팀,general,easy,,재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선.hwp,"수요기관 : 스포츠윤리센터, 정책실(교육정책팀)"
스포츠윤리센터 LMS 사업의 사업추진방식은?,제한경쟁입찰(협상에 의한 계약),procurement,medium,,재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선.hwp,사업추진방식 : 제한경쟁입찰(협상에 의한 계약)
스포츠윤리센터 LMS 제안서 평가방식과 평가기준은 몇 장에서 다루는가?,Ⅶ장 제안서 평가방법에서 다루며 1. 제안서 평가방식(47p)과 2. 제안서 기술 평가 기준(47p)에 상세 기술,evaluation,hard,,재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선.hwp,Ⅶ. 제안서 평가방법 1. 제안서 평가방식 47 2. 제안서 기술 평가 기준 47
