question,ground_truth,category,difficulty,source_page,source_doc,evidence_span
NCIC 사업의 추진 목표는 무엇인가?,국가교육과정 환경에 적합한 최신 기술을 도입하여 데이터를 체계적으로 관리하고 시스템의 안정적 확산을 위한 기반 마련,general,easy,,한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선.hwp,추진 목표: 국가교육과정 환경에 적합한 최신 기술을 도입하여 데이터를 체계적으로 관리하고 시스템의 안정적 확산을 위한 기반 마련
NCIC 사업의 관련 법규는 무엇인가?,국가를 당사자로 하는 계약에 관한 법률 시행령 제43조 및 제43조의 2,compliance,hard,,한국교육과정평가원_국가교육과정정보센터(NCIC) 시스템 운영 및 개선.hwp,관련법규 : 국가를 당사자로 하는 계약에 관한 법률 시행령 제43조 및 제43조의 2
차세대 응급의료 상황관리시스템 구축 사업의 사업예산은 얼마인가?,"금일십사억원정(￦1,400,000,000원, VAT 포함)",budget,easy,,국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축.hwp,"사업예산 : 금일십사억원정 (￦1,400,000,000원, VAT 포함)"
차세대 응급의료 상황관리시스템의 사업기간은?,계약일로부터 2024년 12월 31일까지,schedule,easy,,국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축.hwp,사업기간 : 계약일로부터 2024년 12월 31일까지
응급의료 상황관리시스템 구축의 추진배경에서 전원(병원간 이송) 관련 문제점은?,"중증응급환자의 전원 수용병원 결정을 위해 수차례의 수용 요청이 필요하며 평균 9.3개의 의료기관에 전원의뢰, 지역응급의료기관 등 당직의사 1명인 곳에서는 전원 섭외 중 환자 진료가 불가능하고 섭외 시간만큼 환자 치료가 지연",technical,medium,,국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축.hwp,"중증응급환자의 전원 수용병원 결정을 위해 수차례의 수용 요청이 필요('22년 중앙응급의료상황실 자료에 따르면 평균 9.3개의 의료기관에 전원의뢰), 당직의사가 1명에 불과한 곳에서는 전원 섭외 중 환자 진료가 불가능"
응급의료 상황관리시스템의 예산코드는 무엇인가?,29. 중앙응급의료센터 운영지원-관리운영비-외주용역비-광역상황실,budget,hard,,국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축.hwp,예산코드 : 29. 중앙응급의료센터 운영지원-관리운영비-외주용역비-광역상황실
기존 응급의료 상황관리시스템은 언제 최초 구축되었는가?,'18년에 재난응급의료상황 접수시스템으로 최초 구축,schedule,medium,,국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축.hwp,'18년 재난응급의료상황 접수시스템 최초 구축
응급의료 시스템 구축에서 광역상황실 설치 결정의 근거는?,"제4차 응급의료기본계획('23.3)과 응급의료긴급대책 당정협의('23.5)",compliance,hard,,국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축.hwp,"제4차 응급의료기본계획('23.3)과 응급의료긴급대책 당정협의('23.5)에 따라 광역응급의료상황실 설치 결정"
예약발매시스템 개량 ISMP 용역의 사업비는 얼마인가?,470백만원 (VAT 포함),budget,easy,,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,사 업 비 : 470백만원 (VAT 포함)
예약발매시스템 ISMP 사업기간은?,체결일로부터 5개월 이내,schedule,easy,,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,사업기간 : 체결일로부터 5개월 이내
예약발매시스템 개량의 추진배경은?,"'15년 시스템 개선 후 '17년과 '20년에 하드웨어만 개량하여 노후화와 운용 효율 저하, IT운영센터 신축 및 SR 시스템 분리, MaaS·AI·빅데이터 등 산업 동향 대응 예약발매 플랫폼 전략 부재",technical,medium,,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,"'15년 시스템 개선 후 '17년, '20년에 하드웨어만 개량하여 노후화와 운용 효율 저하, IT운영센터 신축 SR 시스템 분리, MaaS·AI·빅데이터 등 산업 동향 대응 예약발매 플랫폼 전략 부재"
예약발매시스템 ISMP의 제안서 평가방법은 어떤 장에서 다루고 있는가?,7장 제안안내사항의 나. 제안서 평가 방법(48페이지)과 다. 제안서 평가 기준(50페이지),evaluation,medium,,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,"나. 제안서 평가 방법 48, 다. 제안서 평가 기준 50"
예약발매시스템 ISMP에서 하자담보 책임기간은 어디에 규정되어 있는가?,9장 기타 사항의 가. 하자담보 책임기간(72페이지),maintenance,hard,,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,가. 하자담보 책임기간 72
예약발매시스템의 보안 준수사항에서 다루는 세부 항목은?,"공통사항, 용역사업 참여인원에 대한 보안관리, 자료에 대한 보안관리, 용역수행 관련 장비에 대한 보안관리, 내·외부망 접근에 대한 보안관리, 보안특약 조항",security,hard,,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역.hwp,"가. 공통사항, 나. 용역사업 참여인원에 대한 보안관리, 다. 자료에 대한 보안관리, 라. 용역수행 관련 장비에 대한 보안관리, 마. 내·외부망 접근에 대한 보안관리, 바. 보안특약 조항"
스포츠윤리센터 LMS 기능개선 사업의 소요예산은?,"금 46,445,000원(부가가치세 포함)",budget,easy,,재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선.hwp,"소요예산 : 금 46,445,000원(부가가치세 포함)"
스포츠윤리센터 LMS 사업기간은?,계약 후 150일,schedule,easy,,재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선.hwp,사업기간 : 계약 후 150일
스포츠윤리센터 LMS 기능개선의 추진배경 및 필요성은?,"학습자의 흥미도를 고려한 상호작용 형태의 교육콘텐츠 구현 필요, 현장교육 확대에 따라 자동화 강사파견 시스템 개발, 교육등록 체계·통계 등 현행 기능의 고도화 필요, 학습자 편의성·접근성 향상을 위한 LMS 기능개선",technical,medium,,재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선.hwp,"학습자의 흥미도를 고려한 상호작용 형태의 교육콘텐츠 구현 필요, 현장교육 확대에 따라 자동화 강사파견 시스템 개발, 교육등록 체계·통계 등 현행 기능의 고도화 필요, 학습자 편의성·접근성 향상을 위한 LMS 기능개선"
스포츠윤리센터 LMS 사업의 수요기관과 담당부서는?,수요기관은 스포츠윤리센터이며 담당부서는 정책실 교육정책팀,general,easy,,재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선.hwp,"수요기관 : 스포츠윤리센터, 정책실(교육정책팀)"
스포츠윤리센터 LMS 사업의 사업추진방식은?,제한경쟁입찰(협상에 의한 계약),procurement,medium,,재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선.hwp,사업추진방식 : 제한경쟁입찰(협상에 의한 계약)
스포츠윤리센터 LMS 제안서 평가방식과 평가기준은 몇 장에서 다루는가?,Ⅶ장 제안서 평가방법에서 다루며 1. 제안서 평가방식(47p)과 2. 제안서 기술 평가 기준(47p)에 상세 기술,evaluation,hard,,재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선.hwp,"Ⅶ. 제안서 평가방법 1. 제안서 평가방식 47 2. 제안서 기술 평가 기준 47"
